rank_relevance,paper_id,doi,title,year,venue,authors,citation_count,source_url,seed_query,query_tag,category,concepts,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open,hostile_score,importance_stage,notes
1036,https://openalex.org/W3163808458,https://doi.org/10.3390/s21103308,Dental Robotics: A Disruptive Technology,2021,Sensors,Paras Ahmad; Mohammad Khursheed Alam; Ali Aldajani; Abdulmajeed Alahmari; Amal Mohamed Alanazi; Martin J. Stoddart; et al.,91,https://doi.org/10.3390/s21103308,domain randomization robotics,domain_randomization,domain_randomization,Robotics; Robot; Workflow; Artificial intelligence; Endodontics; Medicine; Oral health; Telemedicine; Computer science; Medical physics; Dentistry; Health care,"Robotics is a disruptive technology that will change diagnostics and treatment protocols in dental medicine. Robots can perform repeated workflows for an indefinite length of time while enhancing the overall quality and quantity of patient care. Early robots required a human operator, but robotic systems have advanced significantly over the past decade, and the latest medical robots can perform patient intervention or remote monitoring autonomously. However, little research data on the therapeutic reliability and precision of autonomous robots are available. The present paper reviews the promise and practice of robots in dentistry by evaluating published work on commercial robot systems in dental implantology, oral and maxillofacial surgery, prosthetic and restorative dentistry, endodontics, orthodontics, oral radiology as well as dental education. In conclusion, this review critically addresses the current limitations of dental robotics and anticipates the potential future impact on oral healthcare and the dental profession.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,14,landscape_1000,
1037,https://openalex.org/W3198008946,https://doi.org/10.1016/j.isci.2021.103075,"Biology and bioinspiration of soft robotics: Actuation, sensing, and system integration",2021,iScience,Luquan Ren; Bingqian Li; Guowu Wei; Kunyang Wang; Zhengyi Song; Yuyang Wei; et al.,91,https://doi.org/10.1016/j.isci.2021.103075,sim-to-real robotics,sim_to_real_core,policy_transfer,Robotics; Soft robotics; Artificial intelligence; Adaptability; Autonomy; Soft materials; Computer science; Robot; Evolutionary robotics; Human–computer interaction; Cognitive science; Nanotechnology,"Organisms in nature grow with senses, nervous, and actuation systems coordinated in ingenious ways to sustain metabolism and other essential life activities. The understanding of biological structures and functions guide the construction of soft robotics with unprecedented performances. However, despite the progress in soft robotics, there still remains a big gap between man-made soft robotics and natural lives in terms of autonomy, adaptability, self-repair, durability, energy efficiency, etc. Here, the actuation and sensing strategies in the natural biological world are summarized along with their man-made counterparts applied in soft robotics. The development trends of bioinspired soft robotics toward closed loop and embodiment are proposed. Challenges for obtaining autonomous soft robotics similar to natural organisms are outlined to provide a perspective in this field.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,12,landscape_1000,
1038,https://openalex.org/W4295242713,https://doi.org/10.7759/cureus.29071,The Trend of Metaverse and Augmented &amp; Virtual Reality Extending to the Healthcare System,2022,Cureus,Kunal Bhugaonkar; Roshan Bhugaonkar; Neha Masne,91,https://doi.org/10.7759/cureus.29071,reality gap robotics,sim_to_real_core,policy_transfer,Metaverse; Augmented reality; Computer science; Avatar; The Internet; Virtual reality; Health care; Human–computer interaction; World Wide Web; Internet privacy; Economics; Economic growth,"There is no escaping Internet's favorite buzzword for 2022: The Metaverse. Everyone is talking about it, but only a few know what it is or how it works. One can look at the Metaverse as a 3D model of the Internet where it is possible to spend your reality parallel to the virtual world. In broad terms, Metaverse can be explained as a virtual space, graphically rich, leaning towards verisimilitude where people can do all sorts of things they do in real-life such as shop, play, socialize, and party. The pandemic has accelerated innovations in the digital age. Looking beyond revolutions in telehealth, payments, remote monitoring, and secure data-sharing are other essential innovations in the fields of artificial intelligence (AI), virtual reality (VR), augmented reality (AR), and blockchain technology. The Metaverse is still in its nascent stage and evolving continuously, having a huge potential in health care to combine the technologies of AI, AR/VR, web 3.0, Internet of medical devices, and quantum computing, along with robotics to give a new direction to healthcare systems. From improving surgical precision to therapeutic usage and more, the Metaverse can bring significant changes to the industry.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,12,landscape_1000,
1039,https://openalex.org/W2123379985,https://doi.org/10.1161/strokeaha.112.658807,Dose–Response Relationship of Robot-Assisted Stroke Motor Rehabilitation,2012,Stroke,Yu‐Wei Hsieh; Ching‐Yi Wu; Keh‐chung Lin; Grace Yao; Kuen‐Yuh Wu; Ya‐Ju Chang,91,https://doi.org/10.1161/strokeaha.112.658807,domain randomization robotics,domain_randomization,domain_randomization,Medicine; Stroke (engine); Intensity (physics); Rehabilitation; Randomized controlled trial; Physical therapy; Physical medicine and rehabilitation; Clinical trial; Internal medicine; Physics; Mechanical engineering; Quantum mechanics,"BACKGROUND AND PURPOSE: The increasing availability of robot-assisted therapy (RT), which provides quantifiable, reproducible, interactive, and intensive practice, holds promise for stroke rehabilitation, but data on its dose-response relation are scanty. This study used 2 different intensities of RT to examine the treatment effects of RT and the effect on outcomes of the severity of initial motor deficits. METHODS: Fifty-four patients with stroke were randomized to a 4-week intervention of higher-intensity RT, lower-intensity RT, or control treatment. The primary outcome, the Fugl-Meyer Assessment, was administered at baseline, midterm, and posttreatment. Secondary outcomes included the Medical Research Council scale, the Motor Activity Log, and the physical domains of the Stroke Impact Scale. RESULTS: The higher-intensity RT group showed significantly greater improvements on the Fugl-Meyer Assessment than the lower-intensity RT and control treatment groups at midterm (P=0.003 and P=0.02) and at posttreatment (P=0.04 and P=0.02). Within-group gains on the secondary outcomes were significant, but the differences among the 3 groups did not reach significance. Recovery rates of the higher-intensity RT group were higher than those of the lower-intensity RT group, particularly on the Fugl-Meyer Assessment. Scatterplots with curve fitting showed that patients with moderate motor deficits gained more improvements than those with severe or mild deficits after the higher-intensity RT. CONCLUSIONS: This study demonstrated the higher treatment intensity provided by RT was associated with better motor outcome for patients with stroke, which may shape further stroke rehabilitation. Clinical Trial Registration- URL: http://clinicaltrials.gov. Unique identifier: NCT00917605.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
1040,https://openalex.org/W2953876427,https://doi.org/10.3390/app9132586,Robotics in Health Care: Perspectives of Robot-Aided Interventions in Clinical Practice for Rehabilitation of Upper Limbs,2019,Applied Sciences,Edwin Daniel Oña; Juan Miguel García-Haro; Alberto Jardón; Carlos Balaguer,91,https://doi.org/10.3390/app9132586,sim-to-real robotics,sim_to_real_core,domain_adaptation,Safeguarding; Robot; Rehabilitation; Rehabilitation robotics; Robotics; Clinical Practice; Human–computer interaction; Health care; Computer science; Adaptation (eye); Artificial intelligence; Physical medicine and rehabilitation,"Robot-aided systems to support the physical rehabilitation of individuals with neurological impairment is one of the fields that has been widely developed in the last few decades. However, the adoption of these systems in clinical practice remains limited. In order to better understanding the causes of this limitation, a systematic review of robot-based systems focused on upper extremity rehabilitation is presented in this paper. A systematic search and review of related articles in the literature were conducted. The chosen works were analyzed according to the type of device, the data analysis capability, the therapy method, the human–robot interaction, the safety strategies, and the focus of treatment. As a conclusion, self-adaptation for personalizing the treatments, safeguarding and enhancing of patient–robot interaction towards training essential factors of movement generation into the same paradigm, or the use of lifelike environments in fully-immersive virtual reality for increasing the assimilation of motor gains could be relevant factors to develop more accepted robot-aided systems in clinical practice.",Align source and target distributions so learned perception or policies transfer across domains.,"Learn domain-invariant features, adversarial alignments, image translations, or target-conditioned representations.",Distributional alignment preserves task-relevant causal factors and does not merge domains requiring different repairs.,"Controller semantics, intervention set, simulator causal graph, and failure labels.","Identical marginal statistics with different mechanisms, contact discontinuities, and policy-induced data shift.",A generic feature-alignment framing for sim-to-real transfer.,Intervention-relevant mechanism identification under sparse real trials.,11,landscape_1000,
1041,https://openalex.org/W4387880053,https://doi.org/10.3390/machines11100980,Path Planning Technique for Mobile Robots: A Review,2023,Machines,Liwei Yang; Ping Li; Song Qian; Quan He; Jinchao Miao; Mengqi Liu; et al.,90,https://doi.org/10.3390/machines11100980,domain randomization robotics,domain_randomization,domain_randomization,Motion planning; Computer science; Artificial intelligence; Robot; Mobile robot; Automated planning and scheduling; Machine learning; Any-angle path planning; Shortest path problem; Graph; Distributed computing; Theoretical computer science,"Mobile robot path planning involves designing optimal routes from starting points to destinations within specific environmental conditions. Even though there are well-established autonomous navigation solutions, it is worth noting that comprehensive, systematically differentiated examinations of the critical technologies underpinning both single-robot and multi-robot path planning are notably scarce. These technologies encompass aspects such as environmental modeling, criteria for evaluating path quality, the techniques employed in path planning and so on. This paper presents a thorough exploration of techniques within the realm of mobile robot path planning. Initially, we provide an overview of eight diverse methods for mapping, each mirroring the varying levels of abstraction that robots employ to interpret their surroundings. Furthermore, we furnish open-source map datasets suited for both Single-Agent Path Planning (SAPF) and Multi-Agent Path Planning (MAPF) scenarios, accompanied by an analysis of prevalent evaluation metrics for path planning. Subsequently, focusing on the distinctive features of SAPF algorithms, we categorize them into three classes: classical algorithms, intelligent optimization algorithms, and artificial intelligence algorithms. Within the classical algorithms category, we introduce graph search algorithms, random sampling algorithms, and potential field algorithms. In the intelligent optimization algorithms domain, we introduce ant colony optimization, particle swarm optimization, and genetic algorithms. Within the domain of artificial intelligence algorithms, we discuss neural network algorithms and fuzzy logic algorithms. Following this, we delve into the different approaches to MAPF planning, examining centralized planning which emphasizes ",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,14,landscape_1000,
1042,https://openalex.org/W3127385833,https://doi.org/10.1007/s12369-020-00736-8,A Meta-analysis on Children’s Trust in Social Robots,2021,International Journal of Social Robotics,Rebecca Stower; Natalia Calvo-Barajas; Ginevra Castellano; Arvid Kappas,90,https://doi.org/10.1007/s12369-020-00736-8,domain randomization robotics,domain_randomization,domain_randomization,Popularity; Robot; Meta-analysis; Psychology; Social robot; Artificial intelligence; A priori and a posteriori; Computer science; Applied psychology; Variation (astronomy); Social psychology; Data science,"Abstract Although research on children’s trust in social robots is increasingly growing in popularity, a systematic understanding of the factors which influence children’s trust in robots is lacking. In addition, meta-analyses in child–robot-interaction (cHRI) have yet to be popularly adopted as a method for synthesising results. We therefore conducted a meta-analysis aimed at identifying factors influencing children’s trust in robots. We constructed four meta-analytic models based on 20 identified studies, drawn from an initial pool of 414 papers, as a means of investigating the effect of robot embodiment and behaviour on both social and competency trust. Children’s pro-social attitudes towards social robots were also explored. There was tentative evidence to suggest that more human-like attributes lead to less competency trust in robots. In addition, we found a trend towards the type of measure that was used (subjective or objective) influencing the direction of effects for social trust. The meta-analysis also revealed a tendency towards under-powered designs, as well as variation in the methods and measures used to define trust. Nonetheless, we demonstrate that it is still possible to perform rigorous analyses despite these challenges. We also provide concrete methodological recommendations for future research, such as simplifying experimental designs, conducting a priori power analyses and clearer statistical reporting.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,14,landscape_1000,
1043,https://openalex.org/W1988763687,https://doi.org/10.1007/s10846-014-0067-0,Terrain Classification and Negotiation with a Walking Robot,2014,Journal of Intelligent & Robotic Systems,Krzysztof Walas,90,https://doi.org/10.1007/s10846-014-0067-0,sim-to-real robotics,sim_to_real_core,policy_transfer,Terrain; Robot; Artificial intelligence; Computer science; Computer vision; Support vector machine; Engineering; Simulation; Geography; Cartography; Terrain; Robot,"This paper describes a walking robot controller for negotiation of terrains with different traction characteristics. The feedback is based on three perception systems. The purpose of the presented research is to enhance the autonomy of the walking robot. The information about the class of the terrain allows the robot to work in the real world scenarios more efficiently. In the presented work twelve types of the ground were tested. Suitability of each type of the perception system for characterizing the terrain class was checked. Namely, vision, depth and tactile sensors were used. In each case as a classifier the Support Vector Machines were utilized. The separate classification results from each sensor were combined to obtain better precision and recall in the ground classification process. The information about the terrain type was fed into robot controller to adapt the robot gait parameters. The goal was to achieve good balance between the speed of the movement and the vibration caused by the bounciness and the irregularities of the terrain. The paper begins with the description of the experimental setup. Next, the classification results for each sensor used are presented. Then, the rules of combining classifiers were tested. Finally, the robot gait controller was proposed and evaluated.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,10,landscape_1000,
1044,https://openalex.org/W4306740330,https://doi.org/10.1016/j.compag.2022.107430,Fruit pose recognition and directional orderly grasping strategies for tomato harvesting robots,2022,Computers and Electronics in Agriculture,Jiacheng Rong; Pengbo Wang; Tianjian Wang; Ling Hu; Ting Yuan,89,https://doi.org/10.1016/j.compag.2022.107430,reality gap robotics,sim_to_real_core,policy_transfer,Greenhouse; GRASP; Sorting; Artificial intelligence; Robot; Computer science; Position (finance); Manipulator (device); Agricultural engineering; Engineering; Horticulture; Algorithm,,Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,12,landscape_1000,
1045,https://openalex.org/W1986011868,https://doi.org/10.1016/j.urology.2011.07.1426,Validating the Use of the Mimic dV-trainer for Robotic Surgery Skill Acquisition Among Urology Residents,2011,Urology,Ruslan Korets; Adam C. Mues; Joseph A. Graversen; Mantu Gupta; Mitchell C. Benson; Kimberly L. Cooper; et al.,89,https://doi.org/10.1016/j.urology.2011.07.1426,domain randomization robotics,domain_randomization,domain_randomization,Medicine; Curriculum; Knot tying; Baseline (sea); Da Vinci Surgical System; Robotic surgery; Significant difference; Medical physics; Physical therapy; Surgery; Urology; Internal medicine,,Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
1046,https://openalex.org/W4225108115,https://doi.org/10.1002/rcs.2409,An introductory review of robotically assisted surgical systems,2022,International Journal of Medical Robotics and Computer Assisted Surgery,Francesco Cepolina; Roberto P. Razzoli,88,https://doi.org/10.1002/rcs.2409,reality gap robotics,sim_to_real_core,policy_transfer,Scope (computer science); Computer science; Robot; Task (project management); Field (mathematics); Surgical robot; Da Vinci Surgical System; Robotic surgery; Engineering management; Artificial intelligence; Systems engineering; Engineering,"Abstract Purpose The scope of the work is to present the state of the art of robotically assisted surgical systems and to give a general idea about how technology can help today and tomorrow robotic surgery. The road to innovation passes through research and on field trials; for this reason, not only commercial surgery robots, but also innovative prototype robots, proposed by the Academic world, are presented. Design/methodology/approach Following a short introduction, robotically assisted surgery systems are introduced discussing their architectures and main peculiarities. A further section is dedicated to the key enabling technologies that will make possible to improve current systems and that will lead to a new generation of surgical robotic systems able to meet the patient's needs and facilitate the surgeon's task. Finally, brief concluding comments are given. Findings The idea of using robots for surgery was born many years ago and in a short time a market demand was created. Today the market is very dynamic, and several new products are updated and created for the execution of both traditional and new procedures. The article provides a guide for the reader who has an interest in this area. Originality/value This paper provides an insight into the commercial robotic surgical systems and a look on research prototypes from academic and industrial worlds.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,12,landscape_1000,
1047,https://openalex.org/W2547581866,https://doi.org/10.12700/aph.13.1.2016.1.3,Origins of Surgical Robotics: From Space to the Operating Room,2016,Acta Polytechnica Hungarica,Árpád Takács; Dénes Ákos Nagy; Imre J. Rudas; Tamás Haidegger,88,https://doi.org/10.12700/aph.13.1.2016.1.3,domain randomization robotics,domain_randomization,domain_randomization,Robotics; Telerobotics; Flexibility (engineering); Artificial intelligence; Robot; Surgical robot; Medical robotics; Space (punctuation); Systems engineering; Space exploration; Domain (mathematical analysis); Computer science,"The rapid development of telerobotic systems led to novel applications beyond the nuclear and industrial domains. Medical telerobotics enabled surgeons to perform medical operations from remote places, far from their patient. Telesurgery systems allow great flexibility, improved performance in general, and support the creation of ideal surgical conditions. The first attempts to develop telesurgical systems borrowed the idea from space research, where the need of novel robots emerged for invasive treatment, even under extreme situations, such as weightlessness. Telesurgical instruments on Earth appeared following the same concept, aiming first for military, then onward for civilian applications. Today, more than 1.5 million patients are receiving telerobotic treatment annually, worldwide. As the surgical robotics domain grew from the initial concepts, it developed along three major concepts: telesurgery, cooperatively controlled robots and automated (image-guided) applications. These domains continue to develop into application specific systems with the goal of reaching the specificity and versatility of conventional surgical instruments.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
1048,https://openalex.org/W2135483369,https://doi.org/10.1186/1743-0003-8-33,The development of an adaptive upper-limb stroke rehabilitation robotic system,2011,Journal of NeuroEngineering and Rehabilitation,Patricia Kan; Rajibul Huq; Jesse Hoey; Robby Goetschalckx; Alex Mihailidis,88,https://doi.org/10.1186/1743-0003-8-33,reality gap robotics,sim_to_real_core,simulation_training,Session (web analytics); Rehabilitation; Stroke (engine); Physical medicine and rehabilitation; Psychology; Population; Physical therapy; Computer science; Medicine; Engineering; World Wide Web; Environmental health,"BACKGROUND: Stroke is the primary cause of adult disability. To support this large population in recovery, robotic technologies are being developed to assist in the delivery of rehabilitation. This paper presents an automated system for a rehabilitation robotic device that guides stroke patients through an upper-limb reaching task. The system uses a decision theoretic model (a partially observable Markov decision process, or POMDP) as its primary engine for decision making. The POMDP allows the system to automatically modify exercise parameters to account for the specific needs and abilities of different individuals, and to use these parameters to take appropriate decisions about stroke rehabilitation exercises. METHODS: The performance of the system was evaluated by comparing the decisions made by the system with those of a human therapist. A single patient participant was paired up with a therapist participant for the duration of the study, for a total of six sessions. Each session was an hour long and occurred three times a week for two weeks. During each session, three steps were followed: (A) after the system made a decision, the therapist either agreed or disagreed with the decision made; (B) the researcher had the device execute the decision made by the therapist; (C) the patient then performed the reaching exercise. These parts were repeated in the order of A-B-C until the end of the session. Qualitative and quantitative question were asked at the end of each session and at the completion of the study for both participants. RESULTS: Overall, the therapist agreed with the system decisions approximately 65% of the time. In general, the therapist thought the system decisions were believable and could envision this system being used in both a clinical and home setti",Use simulation to generate robot training data and policies.,"Procedural simulation, synthetic data, imitation, policy learning, or sim-trained perception.",Simulator coverage and transfer procedures are sufficient for real deployment.,Deployment-time repair mechanism and causal diagnosis.,Mechanism-specific transfer failures hidden by aggregate success rates.,More simulation as the source of robot generalization.,Evidence that adapting failure mechanisms can dominate adapting domain statistics.,7,landscape_1000,
1049,https://openalex.org/W4385438620,https://doi.org/10.48550/arxiv.2307.15690,Benchmarking Offline Reinforcement Learning on Real-Robot Hardware,2023,arXiv (Cornell University),"Nico Gürtler; Sebastian Blaes; Pavel Kolev; Felix Widmaier; Manuel Wüthrich; Bauer, Stefan; et al.",11,http://arxiv.org/abs/2307.15690,sim to real transfer robotics,sim_to_real_core,policy_transfer,Reinforcement learning; Benchmarking; Benchmark (surveying); Computer science; Debugging; Artificial intelligence; Machine learning; Robotics; Domain (mathematical analysis); Offline learning; Online and offline; Robot,"Learning policies from previously recorded data is a promising direction for real-world robotics tasks, as online learning is often infeasible. Dexterous manipulation in particular remains an open problem in its general form. The combination of offline reinforcement learning with large diverse datasets, however, has the potential to lead to a breakthrough in this challenging domain analogously to the rapid progress made in supervised learning in recent years. To coordinate the efforts of the research community toward tackling this problem, we propose a benchmark including: i) a large collection of data for offline learning from a dexterous manipulation platform on two tasks, obtained with capable RL agents trained in simulation; ii) the option to execute learned policies on a real-world robotic system and a simulation for efficient debugging. We evaluate prominent open-sourced offline reinforcement learning algorithms on the datasets and provide a reproducible experimental setup for offline reinforcement learning on real systems.",Train policies in simulation that perform on a physical robot.,"Use reinforcement learning, robust objectives, demonstrations, curriculum, or adaptation at deployment.",Task return can drive the right invariant behavior despite sparse real feedback.,"Failure explanation, deployment probes, and causal separation between nuisance shift and mechanism shift.",Low-trial diagnostic settings and mechanisms whose repairs reduce immediate reward before improving transfer.,A general sim-trained policy transfer contribution.,A repairable failure-mechanism representation for sample-limited deployment.,10,landscape_1000,
1050,https://openalex.org/W4205908373,https://doi.org/10.1109/access.2021.3132785,Robot-Based Intervention for Children With Autism Spectrum Disorder: A Systematic Literature Review,2021,IEEE Access,Katrin D. Bartl-Pokorny; Malgorzata Pykala; Pinar Uluer; Duygun Erol Barkana; Alice Baird; Hatice Kose; et al.,87,https://doi.org/10.1109/access.2021.3132785,domain randomization robotics,domain_randomization,domain_randomization,Systematic review; Autism; Intervention (counseling); Autism spectrum disorder; Psychological intervention; Anger; Psychology; Clinical psychology; Typically developing; MEDLINE; Facial recognition system; Developmental psychology,"Children with autism spectrum disorder (ASD) have deficits in the socio-communicative domain and frequently face severe difficulties in the recognition and expression of emotions. Existing literature suggested that children with ASD benefit from robot-based interventions. However, studies varied considerably in participant characteristics, applied robots, and trained skills. Here, we reviewed robot-based interventions targeting emotion-related skills for children with ASD following the guidelines of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) statement. We systematically searched for all relevant articles published in English language until April 2021, using the databases Scopus, Web of Science, and PubMed. From a total of 609 identified papers, 60 publications including 50 original articles and 10 non-empirical articles including review articles and theoretical articles were eligible for the synthesis. A total of 892 participants were included in the robot-based intervention studies; 570 of them were children with ASD. Nao and Zeca were the most frequently used robots; Recognition of basic emotions and getting into interaction were the most frequently trained skills; while happiness, sadness, fear, and anger were the most frequently trained emotions. The studies reported a wide range of challenges with respect to robot-based intervention, ranging from limitations for certain ASD subgroups and security aspects of the robots to efforts regarding the automatic recognition of the children’s emotional state by the robotic systems. Finally, we summarised and discussed recommendations regarding the application of robot-based interventions for children with ASD.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,14,landscape_1000,
1051,https://openalex.org/W2795131436,https://doi.org/10.1155/2018/9758939,A Review of Robotics in Neurorehabilitation: Towards an Automated Process for Upper Limb,2018,Journal of Healthcare Engineering,Edwin Daniel Oña; R. Cano-de la Cuerda; P. Sánchez-Herrera; Carlos Balaguer; Alberto Jardón,87,https://doi.org/10.1155/2018/9758939,domain randomization robotics,domain_randomization,domain_randomization,Neurorehabilitation; Robotics; Rehabilitation; Process (computing); Artificial intelligence; Rehabilitation robotics; Computer science; Robot; Physical medicine and rehabilitation; Human–computer interaction; Psychology; Medicine,"Robot-mediated neurorehabilitation is a growing field that seeks to incorporate advances in robotics combined with neuroscience and rehabilitation to define new methods for treating problems related with neurological diseases. In this paper, a systematic literature review is conducted to identify the contribution of robotics for upper limb neurorehabilitation, highlighting its relation with the rehabilitation cycle, and to clarify the prospective research directions in the development of more autonomous rehabilitation processes. With this aim, first, a study and definition of a general rehabilitation process are made, and then, it is particularized for the case of neurorehabilitation, identifying the components involved in the cycle and their degree of interaction between them. Next, this generic process is compared with the current literature in robotics focused on upper limb treatment, analyzing which components of this rehabilitation cycle are being investigated. Finally, the challenges and opportunities to obtain more autonomous rehabilitation processes are discussed. In addition, based on this study, a series of technical requirements that should be taken into account when designing and implementing autonomous robotic systems for rehabilitation is presented and discussed.",Close the reality gap by training policies over many randomized simulator domains.,"Expose the policy to sampled visual, dynamics, and nuisance parameters during training.",The randomization family covers the real transfer gap and the policy can learn invariances without knowing the failure mechanism.,"Failure taxonomy, repair action space, diagnostic interventions, and causal structure of contact/control failures.","Mechanism aliasing, rare coupled failures, repair-dependent observability, and nuisance dimensions that dominate domain statistics.",A broad claim that randomized simulation improves robustness or transfer.,Which physical failure mechanism caused transfer collapse and which minimal repair should be applied.,12,landscape_1000,
